text,sentiment
هو ٽي وي ڏسي رهيو هو.,Neutral
هو دڪان مان واپس آيو.,Neutral
توهان سان ملڻ وڏي خوشي هئي.,Positive
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
هي فيصلو بلڪل غلط هو.,Negative
مان چانهه پي رهيو آهيان.,Neutral
هو دڪان مان واپس آيو.,Neutral
مان چانهه پي رهيو آهيان.,Neutral
هو ٽي وي ڏسي رهيو هو.,Neutral
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
هي فيصلو بلڪل غلط هو.,Negative
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
اهو ڏينهن خوشيءَ سان ڀرپور هو.,Positive
هن جو رويي تمام سٺو هو.,Positive
مون کي هي شيءِ تمام گهڻي پسند آئي.,Positive
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
توهان جو ڪم بهترين آهي.,Positive
زندگي ڏاڍي ڏکي لڳي ٿي.,Negative
توهان جو ڪم بهترين آهي.,Positive
توهان جو رويو بلڪل سٺو نه هو.,Negative
هي فيصلو بلڪل غلط هو.,Negative
توهان جو رويو بلڪل سٺو نه هو.,Negative
اڄ سومر آهي.,Neutral
هي فلم ڏاڍي مزيدار هئي.,Positive
اڄ موسم عام آهي.,Neutral
اهو ماڻهو پارڪ ۾ آهي.,Neutral
زندگي ڏاڍي ڏکي لڳي ٿي.,Negative
هن جو رويي تمام سٺو هو.,Positive
مان چانهه پي رهيو آهيان.,Neutral
هو ٽي وي ڏسي رهيو هو.,Neutral
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
هو ٽي وي ڏسي رهيو هو.,Neutral
اهو ڏينهن خوشيءَ سان ڀرپور هو.,Positive
مان تمام گهڻو مطمئن آهيان.,Positive
اڄ سومر آهي.,Neutral
مون کي هي شيءِ تمام گهڻي پسند آئي.,Positive
پروجيڪٽ تي ڪم جاري آهي.,Neutral
مان چانهه پي رهيو آهيان.,Neutral
مان تمام گهڻو مطمئن آهيان.,Positive
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
پروجيڪٽ تي ڪم جاري آهي.,Neutral
مان چانهه پي رهيو آهيان.,Neutral
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
مان چانهه پي رهيو آهيان.,Neutral
اهو ڏينهن خوشيءَ سان ڀرپور هو.,Positive
پروجيڪٽ تي ڪم جاري آهي.,Neutral
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
زندگي ڏاڍي ڏکي لڳي ٿي.,Negative
زندگي تمام خوبصورت آهي.,Positive
اهو ماڻهو پارڪ ۾ آهي.,Neutral
هو دڪان مان واپس آيو.,Neutral
اڄ موسم عام آهي.,Neutral
هو ٽي وي ڏسي رهيو هو.,Neutral
هي فلم ڏاڍي مزيدار هئي.,Positive
ڪلاس وقت تي شروع ٿيو.,Neutral
توهان سان ملڻ وڏي خوشي هئي.,Positive
پروجيڪٽ تي ڪم جاري آهي.,Neutral
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
هو ٽي وي ڏسي رهيو هو.,Neutral
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
اڄ موسم عام آهي.,Neutral
توهان جو رويو بلڪل سٺو نه هو.,Negative
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
مان چانهه پي رهيو آهيان.,Neutral
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
هي فيصلو بلڪل غلط هو.,Negative
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
مان تمام گهڻو مايوس آهيان.,Negative
اڄ سومر آهي.,Neutral
پروجيڪٽ تي ڪم جاري آهي.,Neutral
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
زندگي ڏاڍي ڏکي لڳي ٿي.,Negative
پروجيڪٽ تي ڪم جاري آهي.,Neutral
مان تمام گهڻو مطمئن آهيان.,Positive
هن جو رويي تمام سٺو هو.,Positive
هي فيصلو بلڪل غلط هو.,Negative
هو دڪان مان واپس آيو.,Neutral
نتيجو اميدن مطابق بهترين نڪتو.,Positive
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
مان چانهه پي رهيو آهيان.,Neutral
هي فلم ڏاڍي مزيدار هئي.,Positive
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
ڪتاب ميز تي رکيل آهي.,Neutral
مون کي هي ڪم ڪرڻ ۾ ڏکيائي ٿي.,Negative
اڄ سومر آهي.,Neutral
پروجيڪٽ تي ڪم جاري آهي.,Neutral
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
زندگي ڏاڍي ڏکي لڳي ٿي.,Negative
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
اڄ سومر آهي.,Neutral
ڪلاس وقت تي شروع ٿيو.,Neutral
توهان جو ڪم بهترين آهي.,Positive
پروجيڪٽ تي ڪم جاري آهي.,Neutral
مون کي هي شيءِ تمام گهڻي پسند آئي.,Positive
اهو ڏينهن خوشيءَ سان ڀرپور هو.,Positive
نتيجو اميدن مطابق بهترين نڪتو.,Positive
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
مان تمام گهڻو مطمئن آهيان.,Positive
پروجيڪٽ تي ڪم جاري آهي.,Neutral
پروجيڪٽ تي ڪم جاري آهي.,Neutral
نتيجو اميدن مطابق بهترين نڪتو.,Positive
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
اڄ سومر آهي.,Neutral
هو مارڪيٽ ويو هو.,Neutral
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
هي فلم بلڪل خراب هئي.,Negative
مون کي هي شيءِ تمام گهڻي پسند آئي.,Positive
هن جو رويي تمام سٺو هو.,Positive
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
مون کي هي شيءِ تمام گهڻي پسند آئي.,Positive
ڪلاس وقت تي شروع ٿيو.,Neutral
هو مارڪيٽ ويو هو.,Neutral
مون کي هي ڪم ڪرڻ ۾ ڏکيائي ٿي.,Negative
اڄ سومر آهي.,Neutral
توهان جو رويو بلڪل سٺو نه هو.,Negative
توهان سان ملڻ وڏي خوشي هئي.,Positive
مان تمام گهڻو مايوس آهيان.,Negative
اڄ موسم عام آهي.,Neutral
ڪلاس وقت تي شروع ٿيو.,Neutral
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
مان تمام گهڻو مايوس آهيان.,Negative
هو مارڪيٽ ويو هو.,Neutral
هي فلم ڏاڍي مزيدار هئي.,Positive
مان تمام گهڻو مطمئن آهيان.,Positive
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
توهان جو ڪم بهترين آهي.,Positive
هن جو رويي تمام سٺو هو.,Positive
مان تمام گهڻو مطمئن آهيان.,Positive
هي فيصلو بلڪل غلط هو.,Negative
زندگي ڏاڍي ڏکي لڳي ٿي.,Negative
مون کي هي ڪم ڪرڻ ۾ ڏکيائي ٿي.,Negative
توهان جو رويو بلڪل سٺو نه هو.,Negative
زندگي تمام خوبصورت آهي.,Positive
هي فلم ڏاڍي مزيدار هئي.,Positive
توهان سان ملڻ وڏي خوشي هئي.,Positive
مون کي هي شيءِ تمام گهڻي پسند آئي.,Positive
زندگي تمام خوبصورت آهي.,Positive
ڪتاب ميز تي رکيل آهي.,Neutral
مون کي هي ڪم ڪرڻ ۾ ڏکيائي ٿي.,Negative
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
زندگي تمام خوبصورت آهي.,Positive
هي فلم بلڪل خراب هئي.,Negative
زندگي تمام خوبصورت آهي.,Positive
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
ڪتاب ميز تي رکيل آهي.,Neutral
توهان سان ملڻ وڏي خوشي هئي.,Positive
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
اڄ سومر آهي.,Neutral
مان تمام گهڻو مايوس آهيان.,Negative
هن جو رويي تمام سٺو هو.,Positive
اڄ سومر آهي.,Neutral
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
هن جو رويي تمام سٺو هو.,Positive
اڄ موسم عام آهي.,Neutral
مون کي هي شيءِ تمام گهڻي پسند آئي.,Positive
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
مان تمام گهڻو مطمئن آهيان.,Positive
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
هن جو رويي تمام سٺو هو.,Positive
هو مارڪيٽ ويو هو.,Neutral
هو ٽي وي ڏسي رهيو هو.,Neutral
هي ريسٽورنٽ ته wow آهي، taste amazing!,Positive
هن وقت سڀ ڪجهه برباد لڳي ٿو.,Negative
هو مارڪيٽ ويو هو، ڪجهه شيون وٺڻ لاءِ.,Neutral
هو دڪان مان واپس آيو.,Neutral
توهان سان ملڻ وڏي خوشي هئي، دل لڳي وئي.,Positive
Service zero هئي، staff rude هو.,Negative
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
يار، هي ته total flop آهي.,Negative
Friend، تون ته Kamal ڪري ڇڏين ٿو!,Positive
يار، اهو ڏينهن ڏاڍو خراب گذريو.,Negative
توهان جو رويو بلڪل سٺو نه هو، disappointed.,Negative
توهان جو ڪم بهترين آهي، keep it up!,Positive
اهو ڏينهن خوشيءَ سان ڀرپور هو، دل خوش ٿي وئي.,Positive
هن وقت سڀ ڪجهه برباد لڳي ٿو.,Negative
Friend، تون ته Kamal ڪري ڇڏين ٿو!,Positive
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
واهه، هن جو رويو ڏاڍو نرم ۽ سٺو هو.,Positive
توهان سان ملڻ وڏي خوشي هئي، دل لڳي وئي.,Positive
مون کي تنهنجي ڳالهه ڏاڍي پسند آئي، دل سان ڳالهائي.,Positive
هو ٽي وي ڏسي رهيو هو.,Neutral
هي ريسٽورنٽ ته wow آهي، taste amazing!,Positive
مون کي هي شيءِ تمام گهڻي پسند آئي!,Positive
هي ڪو ڪم ڪرڻ جو طريقو آهي ڇا؟ nonsense!,Negative
واهه يار، زبردست ڪم ڪيو اٿئي!,Positive
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
توهان سان ملڻ وڏي خوشي هئي، دل لڳي وئي.,Positive
نتيجو اميدن مطابق بهترين نڪتو الحمدالله.,Positive
يار، هي ته total flop آهي.,Negative
پروجيڪٽ تي ڪم جاري آهي.,Neutral
Friend، تون ته Kamal ڪري ڇڏين ٿو!,Positive
واهه، هن جو رويو ڏاڍو نرم ۽ سٺو هو.,Positive
هي ريسٽورنٽ ته wow آهي، taste amazing!,Positive
Service zero هئي، staff rude هو.,Negative
mobile charge تي لڳايو اٿم.,Neutral
پروجيڪٽ تي ڪم جاري آهي.,Neutral
مان laptop تي ڪم ڪري رهيو آهيان.,Neutral
مون کي هي شيءِ تمام گهڻي پسند آئي!,Positive
هو دڪان مان واپس آيو.,Neutral
سندس مدد سان سڀ ڪجهه آساني سان ٿي ويو.,Positive
يار، اهو ڏينهن ڏاڍو خراب گذريو.,Negative
هو دڪان مان واپس آيو.,Neutral
ڪلاس وقت تي شروع ٿيو.,Neutral
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
زندگي تمام خوبصورت آهي ماشاءَالله.,Positive
واهه يار، زبردست ڪم ڪيو اٿئي!,Positive
Boss today meeting zabardast رهي!,Positive
ڪتاب ميز تي رکيل آهي.,Neutral
Friend، تون ته Kamal ڪري ڇڏين ٿو!,Positive
توهان سان ملڻ وڏي خوشي هئي، دل لڳي وئي.,Positive
meeting scheduled آهي 3PM تي.,Neutral
هو ٽي وي ڏسي رهيو هو.,Neutral
اهو ماڻهو پارڪ ۾ آهي.,Neutral
مون کي هي شيءِ تمام گهڻي پسند آئي!,Positive
زندگي ڏاڍي ڏکي لڳي ٿي، هر شي خراب پئي لڳي.,Negative
واهه، هن جو رويو ڏاڍو نرم ۽ سٺو هو.,Positive
واهه يار، زبردست ڪم ڪيو اٿئي!,Positive
ڪلاس وقت تي شروع ٿيو.,Neutral
مان laptop تي ڪم ڪري رهيو آهيان.,Neutral
هي فيصلو بلڪل غلط هو، ناانصافي آهي.,Negative
اهو ماڻهو پارڪ ۾ آهي.,Neutral
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
Internet به slow ۽ irritating آهي.,Negative
هن وقت سڀ ڪجهه برباد لڳي ٿو.,Negative
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
پروجيڪٽ تي ڪم جاري آهي.,Neutral
نتيجو اميدن مطابق بهترين نڪتو الحمدالله.,Positive
توهان جو رويو بلڪل سٺو نه هو، disappointed.,Negative
مان چانهه پي رهيو آهيان.,Neutral
مون کي تنهنجي ڳالهه ڏاڍي پسند آئي، دل سان ڳالهائي.,Positive
يار، اهو ڏينهن ڏاڍو خراب گذريو.,Negative
Friend، تون ته Kamal ڪري ڇڏين ٿو!,Positive
هي ڪو ڪم ڪرڻ جو طريقو آهي ڇا؟ nonsense!,Negative
Friend، تون ته Kamal ڪري ڇڏين ٿو!,Positive
Boss today meeting zabardast رهي!,Positive
Internet به slow ۽ irritating آهي.,Negative
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
زندگي ڏاڍي ڏکي لڳي ٿي، هر شي خراب پئي لڳي.,Negative
mobile charge تي لڳايو اٿم.,Neutral
واهه يار، زبردست ڪم ڪيو اٿئي!,Positive
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
Internet به slow ۽ irritating آهي.,Negative
نتيجو اميدن مطابق بهترين نڪتو الحمدالله.,Positive
Service zero هئي، staff rude هو.,Negative
Boss today meeting zabardast رهي!,Positive
اهو ڏينهن خوشيءَ سان ڀرپور هو، دل خوش ٿي وئي.,Positive
توهان جو رويو بلڪل سٺو نه هو، disappointed.,Negative
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
ڪلاس وقت تي شروع ٿيو.,Neutral
مان laptop تي ڪم ڪري رهيو آهيان.,Neutral
Friend، تون ته Kamal ڪري ڇڏين ٿو!,Positive
توهان جو ڪم بهترين آهي، keep it up!,Positive
هي فلم ڏاڍي مزيدار هئي، دوباره ڏسندس.,Positive
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
روڊ تي ٽريفڪ عام آهي.,Neutral
Boss today meeting zabardast رهي!,Positive
هي فلم بلڪل خراب هئي، پئسا ضايع.,Negative
پروجيڪٽ تي ڪم جاري آهي.,Neutral
هي فلم بلڪل خراب هئي، پئسا ضايع.,Negative
پروجيڪٽ تي ڪم جاري آهي.,Neutral
هي فلم ڏاڍي مزيدار هئي، دوباره ڏسندس.,Positive
اهو ڏينهن خوشيءَ سان ڀرپور هو، دل خوش ٿي وئي.,Positive
هن وقت سڀ ڪجهه برباد لڳي ٿو.,Negative
هو اڄ office ۾ مصروف هو.,Neutral
هن وقت سڀ ڪجهه برباد لڳي ٿو.,Negative
پروجيڪٽ تي ڪم جاري آهي.,Neutral
هي ڪو ڪم ڪرڻ جو طريقو آهي ڇا؟ nonsense!,Negative
يار، اهو ڏينهن ڏاڍو خراب گذريو.,Negative
روڊ تي ٽريفڪ عام آهي.,Neutral
هي ريسٽورنٽ ته wow آهي، taste amazing!,Positive
هي فلم ڏاڍي مزيدار هئي، دوباره ڏسندس.,Positive
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
روڊ تي ٽريفڪ عام آهي.,Neutral
سندس مدد سان سڀ ڪجهه آساني سان ٿي ويو.,Positive
زندگي ڏاڍي ڏکي لڳي ٿي، هر شي خراب پئي لڳي.,Negative
توهان جو رويو بلڪل سٺو نه هو، disappointed.,Negative
واهه يار، زبردست ڪم ڪيو اٿئي!,Positive
مان چانهه پي رهيو آهيان.,Neutral
مان laptop تي ڪم ڪري رهيو آهيان.,Neutral
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
meeting scheduled آهي 3PM تي.,Neutral
mobile charge تي لڳايو اٿم.,Neutral
واهه، هن جو رويو ڏاڍو نرم ۽ سٺو هو.,Positive
يار، هي ته total flop آهي.,Negative
اهو ڏينهن خوشيءَ سان ڀرپور هو، دل خوش ٿي وئي.,Positive
نتيجو اميدن مطابق بهترين نڪتو الحمدالله.,Positive
اهو ماڻهو پارڪ ۾ آهي.,Neutral
مون کي هي ڪم ڪرڻ ۾ ڏکيائي ٿي رهي آهي.,Negative
مان چانهه پي رهيو آهيان.,Neutral
هي فلم ڏاڍي مزيدار هئي، دوباره ڏسندس.,Positive
ڪتاب ميز تي رکيل آهي.,Neutral
يار، هي ته total flop آهي.,Negative
واهه، هن جو رويو ڏاڍو نرم ۽ سٺو هو.,Positive
زندگي تمام خوبصورت آهي ماشاءَالله.,Positive
mobile charge تي لڳايو اٿم.,Neutral
ڪلاس وقت تي شروع ٿيو.,Neutral
توهان جو رويو بلڪل سٺو نه هو، disappointed.,Negative
مون کي تنهنجي ڳالهه ڏاڍي پسند آئي، دل سان ڳالهائي.,Positive
اهو ماڻهو پارڪ ۾ آهي.,Neutral
مون کي تنهنجي ڳالهه ڏاڍي پسند آئي، دل سان ڳالهائي.,Positive
زندگي ڏاڍي ڏکي لڳي ٿي، هر شي خراب پئي لڳي.,Negative
اڄ سومر آهي.,Neutral
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
meeting scheduled آهي 3PM تي.,Neutral
هو دڪان مان واپس آيو.,Neutral
توهان جو ڪم بهترين آهي، keep it up!,Positive
زندگي تمام خوبصورت آهي ماشاءَالله.,Positive
هو اڄ office ۾ مصروف هو.,Neutral
Internet به slow ۽ irritating آهي.,Negative
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
واهه، هن جو رويو ڏاڍو نرم ۽ سٺو هو.,Positive
اهو ماڻهو پارڪ ۾ آهي.,Neutral
هي ڪو ڪم ڪرڻ جو طريقو آهي ڇا؟ nonsense!,Negative
مان چانهه پي رهيو آهيان.,Neutral
meeting scheduled آهي 3PM تي.,Neutral
Service zero هئي، staff rude هو.,Negative
هو اڄ office ۾ مصروف هو.,Neutral
Service zero هئي، staff rude هو.,Negative
هي فلم بلڪل خراب هئي، پئسا ضايع.,Negative
توهان سان ملڻ وڏي خوشي هئي، دل لڳي وئي.,Positive
هي فيصلو بلڪل غلط هو، ناانصافي آهي.,Negative
توهان جو رويو بلڪل سٺو نه هو، disappointed.,Negative
زندگي ڏاڍي ڏکي لڳي ٿي، هر شي خراب پئي لڳي.,Negative
Service zero هئي، staff rude هو.,Negative
اهو ماڻهو پارڪ ۾ آهي.,Neutral
واهه، هن جو رويو ڏاڍو نرم ۽ سٺو هو.,Positive
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
زندگي تمام خوبصورت آهي ماشاءَالله.,Positive
هن وقت سڀ ڪجهه برباد لڳي ٿو.,Negative
Friend، تون ته Kamal ڪري ڇڏين ٿو!,Positive
اهو ماڻهو پارڪ ۾ آهي.,Neutral
اهو ماڻهو پارڪ ۾ آهي.,Neutral
روڊ تي ٽريفڪ عام آهي.,Neutral
ڪتاب ميز تي رکيل آهي.,Neutral
يار، اهو ڏينهن ڏاڍو خراب گذريو.,Negative
واهه يار، زبردست ڪم ڪيو اٿئي!,Positive
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
Internet به slow ۽ irritating آهي.,Negative
هي فلم ڏاڍي مزيدار هئي، دوباره ڏسندس.,Positive
ڪلاس وقت تي شروع ٿيو.,Neutral
هي فلم بلڪل خراب هئي، پئسا ضايع.,Negative
اهو ماڻهو پارڪ ۾ آهي.,Neutral
هي ڪو ڪم ڪرڻ جو طريقو آهي ڇا؟ nonsense!,Negative
پروجيڪٽ تي ڪم جاري آهي.,Neutral
هي فلم بلڪل خراب هئي، پئسا ضايع.,Negative
هو دڪان مان واپس آيو.,Neutral
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
اهو ڏينهن خوشيءَ سان ڀرپور هو، دل خوش ٿي وئي.,Positive
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
Friend، تون ته Kamal ڪري ڇڏين ٿو!,Positive
يار، اهو ڏينهن ڏاڍو خراب گذريو.,Negative
هي ڪو ڪم ڪرڻ جو طريقو آهي ڇا؟ nonsense!,Negative
اهو ماڻهو پارڪ ۾ آهي.,Neutral
هي ريسٽورنٽ ته wow آهي، taste amazing!,Positive
زندگي تمام خوبصورت آهي ماشاءَالله.,Positive
هو مارڪيٽ ويو هو، ڪجهه شيون وٺڻ لاءِ.,Neutral
نتيجو اميدن مطابق بهترين نڪتو الحمدالله.,Positive
اهو ڏينهن خوشيءَ سان ڀرپور هو، دل خوش ٿي وئي.,Positive
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
ڪلاس وقت تي شروع ٿيو.,Neutral
هي فيصلو بلڪل غلط هو، ناانصافي آهي.,Negative
مون کي تنهنجي ڳالهه ڏاڍي پسند آئي، دل سان ڳالهائي.,Positive
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
هي فيصلو بلڪل غلط هو، ناانصافي آهي.,Negative
Service zero هئي، staff rude هو.,Negative
meeting scheduled آهي 3PM تي.,Neutral
هو اڄ office ۾ مصروف هو.,Neutral
هي فلم بلڪل خراب هئي، پئسا ضايع.,Negative
توهان سان ملڻ وڏي خوشي هئي، دل لڳي وئي.,Positive
هي ڪو ڪم ڪرڻ جو طريقو آهي ڇا؟ nonsense!,Negative
يار، اهو ڏينهن ڏاڍو خراب گذريو.,Negative
مون کي هي ڪم ڪرڻ ۾ ڏکيائي ٿي رهي آهي.,Negative
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
هي ريسٽورنٽ ته wow آهي، taste amazing!,Positive
هي فيصلو بلڪل غلط هو، ناانصافي آهي.,Negative
روڊ تي ٽريفڪ عام آهي.,Neutral
هي فلم ڏاڍي مزيدار هئي، دوباره ڏسندس.,Positive
ڪتاب ميز تي رکيل آهي.,Neutral
اهو ماڻهو پارڪ ۾ آهي.,Neutral
mobile charge تي لڳايو اٿم.,Neutral
يار، اهو ڏينهن ڏاڍو خراب گذريو.,Negative
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
هو مارڪيٽ ويو هو، ڪجهه شيون وٺڻ لاءِ.,Neutral
يار، اهو ڏينهن ڏاڍو خراب گذريو.,Negative
نتيجو اميدن مطابق بهترين نڪتو الحمدالله.,Positive
توهان جو ڪم بهترين آهي، keep it up!,Positive
هي فلم بلڪل خراب هئي، پئسا ضايع.,Negative
اهو ڏينهن خوشيءَ سان ڀرپور هو، دل خوش ٿي وئي.,Positive
